fighter,opponent_fighter,date,sig_str,sig_str_misses,sig_str_attempts,opponent_sig_str,opponent_sig_str_misses,opponent_sig_str_attempts,total_str,total_str_misses,total_str_attempts,opponent_total_str,opponent_total_str_misses,opponent_total_str_attempts,td,td_misses,td_attempts,opponent_td,opponent_td_misses,opponent_td_attempts,head,head_misses,head_attempts,opponent_head,opponent_head_misses,opponent_head_attempts,body,body_misses,body_attempts,opponent_body,opponent_body_misses,opponent_body_attempts,leg,leg_misses,leg_attempts,opponent_leg,opponent_leg_misses,opponent_leg_attempts,distance,distance_misses,distance_attempts,opponent_distance,opponent_distance_misses,opponent_distance_attempts,clinch,clinch_misses,clinch_attempts,opponent_clinch,opponent_clinch_misses,opponent_clinch_attempts,ground,ground_misses,ground_attempts,opponent_ground,opponent_ground_misses,opponent_ground_attempts
Aalon Cruz,Spike Carlyle,2020-02-29,2,10,12,20,9,29,2,10,12,29,9,38,0,1,1,0,0,0,2,2,4,19,8,27,0,4,4,0,1,1,0,4,4,1,0,1,2,10,12,2,4,6,0,0,0,4,1,5,0,0,0,14,4,18
Aalon Cruz,Uros Medic,2021-03-06,0,3,3,45,18,63,0,3,3,55,19,74,0,2,2,0,0,0,0,2,2,43,18,61,0,1,1,1,0,1,0,0,0,1,0,1,0,3,3,7,1,8,0,0,0,3,0,3,0,0,0,35,17,52
Aaron Brink,Andrei Arlovski,2000-11-17,0,5,5,2,2,4,0,5,5,2,2,4,0,1,1,1,0,1,0,5,5,1,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,2,0,2,0,2,2,0,2,2,0,0,0,0,0,0
Aaron Phillips,Matt Hobar,2014-08-23,38,16,54,63,37,100,230,49,279,120,52,172,0,1,1,6,3,9,23,16,39,51,34,85,12,0,12,8,3,11,3,0,3,4,0,4,14,11,25,6,9,15,17,1,18,21,7,28,7,4,11,36,21,57
Aaron Phillips,Jack Shore,2020-07-15,6,9,15,29,16,45,7,9,16,42,17,59,0,0,0,3,5,8,1,8,9,19,13,32,5,1,6,5,1,6,0,0,0,5,2,7,5,9,14,7,7,14,1,0,1,6,0,6,0,0,0,16,9,25
Aaron Phillips,Sam Sicilia,2014-05-24,18,22,40,37,31,68,109,28,137,95,34,129,0,0,0,5,3,8,5,18,23,28,25,53,12,2,14,8,5,13,1,2,3,1,1,2,9,17,26,12,19,31,3,3,6,4,2,6,6,2,8,21,10,31
Aaron Riley,Shane Nelson,2009-08-08,50,72,122,28,46,74,154,82,236,80,48,128,2,3,5,0,5,5,28,68,96,13,46,59,18,4,22,14,0,14,4,0,4,1,0,1,16,58,74,15,42,57,24,11,35,13,4,17,10,3,13,0,0,0
Aaron Riley,Spencer Fisher,2006-01-16,9,14,23,25,40,65,17,15,32,30,40,70,2,2,4,0,0,0,2,13,15,13,38,51,4,1,5,10,2,12,3,0,3,2,0,2,1,12,13,18,36,54,7,2,9,7,4,11,1,0,1,0,0,0
Aaron Riley,Justin Salas,2013-07-27,26,146,172,54,86,140,26,146,172,58,86,144,0,0,0,3,6,9,10,113,123,38,77,115,8,26,34,7,5,12,8,7,15,9,4,13,23,146,169,44,83,127,3,0,3,8,3,11,0,0,0,2,0,2
Aaron Riley,Shane Nelson,2009-03-07,4,5,9,5,7,12,4,5,9,5,7,12,0,0,0,0,0,0,0,5,5,4,6,10,1,0,1,1,0,1,3,0,3,0,1,1,4,5,9,2,4,6,0,0,0,0,1,1,0,0,0,3,2,5
Aaron Riley,Robbie Lawler,2002-05-10,55,75,130,64,89,153,93,77,170,87,89,176,0,3,3,6,2,8,18,65,83,52,85,137,18,2,20,9,2,11,19,8,27,3,2,5,31,52,83,34,60,94,24,23,47,21,20,41,0,0,0,9,9,18
Aaron Riley,Joe Brammer,2010-05-29,46,58,104,37,70,107,124,60,184,51,71,122,3,5,8,1,1,2,17,51,68,20,53,73,11,4,15,14,7,21,18,3,21,3,10,13,27,54,81,29,60,89,16,3,19,8,10,18,3,1,4,0,0,0
Aaron Riley,Ross Pearson,2009-11-14,15,58,73,59,63,122,19,58,77,70,65,135,0,2,2,0,0,0,6,50,56,38,60,98,7,4,11,17,2,19,2,4,6,4,1,5,8,47,55,32,49,81,7,11,18,27,14,41,0,0,0,0,0,0
Aaron Riley,Jorge Gurgel,2008-11-15,98,124,222,70,129,199,133,128,261,91,129,220,1,0,1,1,3,4,63,109,172,46,120,166,21,6,27,21,5,26,14,9,23,3,4,7,69,112,181,56,118,174,21,8,29,14,11,25,8,4,12,0,0,0
Aaron Riley,Tony Ferguson,2011-09-24,11,38,49,31,51,82,11,38,49,31,51,82,0,0,0,0,0,0,3,32,35,22,45,67,4,3,7,6,2,8,4,3,7,3,4,7,11,38,49,29,50,79,0,0,0,2,1,3,0,0,0,0,0,0
Aaron Rosa,Joey Beltran,2011-06-11,73,106,179,88,100,188,135,123,258,185,119,304,0,1,1,1,3,4,56,102,158,53,93,146,13,3,16,16,3,19,4,1,5,19,4,23,62,98,160,59,95,154,11,8,19,22,5,27,0,0,0,7,0,7
Aaron Rosa,James Te Huna,2012-03-02,0,12,12,22,11,33,16,13,29,37,13,50,0,0,0,0,0,0,0,12,12,20,11,31,0,0,0,0,0,0,0,0,0,2,0,2,0,12,12,11,7,18,0,0,0,4,3,7,0,0,0,7,1,8
Aaron Rosa,Matt Lucas,2011-11-12,59,40,99,19,20,39,256,55,311,48,27,75,0,0,0,1,9,10,25,38,63,19,20,39,29,2,31,0,0,0,5,0,5,0,0,0,18,37,55,14,20,34,41,3,44,4,0,4,0,0,0,1,0,1
Aaron Simpson,Tim McKenzie,2009-04-01,16,11,27,1,3,4,27,13,40,2,3,5,1,0,1,0,0,0,11,11,22,1,3,4,3,0,3,0,0,0,2,0,2,0,0,0,3,2,5,1,3,4,2,0,2,0,0,0,11,9,20,0,0,0
Aaron Simpson,Ed Herman,2009-08-29,25,25,50,7,25,32,39,27,66,14,25,39,3,0,3,0,0,0,21,24,45,5,24,29,2,1,3,2,1,3,2,0,2,0,0,0,8,12,20,3,20,23,3,0,3,3,5,8,14,13,27,1,0,1
Aaron Simpson,Ronny Markes,2012-02-15,55,29,84,62,35,97,75,29,104,78,37,115,0,5,5,2,4,6,34,27,61,28,33,61,11,2,13,4,1,5,10,0,10,30,1,31,24,23,47,36,34,70,13,1,14,14,0,14,18,5,23,12,1,13
Aaron Simpson,Tom Lawlor,2010-01-11,36,72,108,52,76,128,74,75,149,60,76,136,2,4,6,1,5,6,22,63,85,50,76,126,12,8,20,2,0,2,2,1,3,0,0,0,14,52,66,22,51,73,19,18,37,30,24,54,3,2,5,0,1,1
Aaron Simpson,Brad Tavares,2011-07-02,43,23,66,13,20,33,127,29,156,41,21,62,2,13,15,1,3,4,13,17,30,5,19,24,7,1,8,5,1,6,23,5,28,3,0,3,8,13,21,9,17,26,32,10,42,4,3,7,3,0,3,0,0,0
Aaron Simpson,Kenny Robertson,2012-07-11,48,22,70,29,21,50,97,38,135,42,21,63,6,8,14,0,6,6,27,20,47,10,18,28,10,2,12,12,3,15,11,0,11,7,0,7,5,12,17,9,13,22,18,4,22,18,8,26,25,6,31,2,0,2
Aaron Simpson,Chris Leben,2010-06-19,43,35,78,42,50,92,56,38,94,66,52,118,2,8,10,0,0,0,28,31,59,31,43,74,9,4,13,2,3,5,6,0,6,9,4,13,19,31,50,21,41,62,20,2,22,17,9,26,4,2,6,4,0,4
Aaron Simpson,Mario Miranda,2011-03-26,59,16,75,14,1,15,122,36,158,60,3,63,10,16,26,0,2,2,12,16,28,6,1,7,4,0,4,4,0,4,43,0,43,4,0,4,3,9,12,3,1,4,36,0,36,11,0,11,20,7,27,0,0,0
Aaron Simpson,Mark Munoz,2010-11-20,43,75,118,76,80,156,70,76,146,92,82,174,5,6,11,1,3,4,21,69,90,35,69,104,18,6,24,19,4,23,4,0,4,22,7,29,27,58,85,29,48,77,14,16,30,43,31,74,2,1,3,4,1,5
Aaron Simpson,Mike Pierce,2012-10-05,28,16,44,10,11,21,50,22,72,21,11,32,1,0,1,0,2,2,23,9,32,8,11,19,4,7,11,1,0,1,1,0,1,1,0,1,10,10,20,6,9,15,14,6,20,2,2,4,4,0,4,2,0,2
Aaron Simpson,Eric Schafer,2011-10-08,58,82,140,14,88,102,63,82,145,17,90,107,0,0,0,0,0,0,41,68,109,13,87,100,17,14,31,1,1,2,0,0,0,0,0,0,43,68,111,11,86,97,13,11,24,3,2,5,2,3,5,0,0,0
Aaron Wilkinson,Cody McKenzie,2010-12-04,0,1,1,0,2,2,0,1,1,8,2,10,1,0,1,1,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Razak Alhassan,Sabah Homasi,2017-12-02,27,34,61,39,21,60,34,36,70,41,21,62,1,2,3,0,2,2,22,33,55,23,19,42,2,0,2,12,2,14,3,1,4,4,0,4,18,30,48,16,17,33,9,4,13,18,4,22,0,0,0,5,0,5
Abdul Razak Alhassan,Sabah Homasi,2018-01-20,13,20,33,8,17,25,20,22,42,9,17,26,0,0,0,1,1,2,11,18,29,3,16,19,0,1,1,5,1,6,2,1,3,0,0,0,11,17,28,4,16,20,2,3,5,4,1,5,0,0,0,0,0,0
Abdul Razak Alhassan,Mounir Lazzez,2020-07-15,67,66,133,98,79,177,70,66,136,114,80,194,1,3,4,4,0,4,49,59,108,51,67,118,6,0,6,25,11,36,12,7,19,22,1,23,61,58,119,78,73,151,6,8,14,14,6,20,0,0,0,6,0,6
Abdul Razak Alhassan,Omari Akhmedov,2017-05-28,43,56,99,52,101,153,44,58,102,99,114,213,0,0,0,6,3,9,37,51,88,42,98,140,3,2,5,6,3,9,3,3,6,4,0,4,37,54,91,38,88,126,6,2,8,2,3,5,0,0,0,12,10,22
Abdul Razak Alhassan,Khaos Williams,2020-11-14,2,0,2,5,5,10,2,0,2,5,5,10,0,0,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,2,0,2,3,0,3,2,0,2,4,5,9,0,0,0,0,0,0,0,0,0,1,0,1
Abdul Razak Alhassan,Charlie Ward,2016-11-19,12,10,22,2,12,14,12,10,22,2,13,15,0,0,0,0,0,0,12,10,22,2,12,14,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16,1,12,13,2,0,2,1,0,1,3,1,4,0,0,0
Abdul Razak Alhassan,Niko Price,2018-09-08,15,6,21,4,6,10,15,6,21,4,6,10,0,0,0,0,1,1,11,6,17,2,4,6,3,0,3,2,2,4,1,0,1,0,0,0,14,6,20,4,6,10,1,0,1,0,0,0,0,0,0,0,0,0
Abdul-Kerim Edilov,Bojan Mihajlovic,2017-09-02,77,48,125,1,12,13,150,60,210,7,14,21,2,0,2,0,0,0,59,46,105,1,11,12,16,1,17,0,1,1,2,1,3,0,0,0,9,13,22,1,10,11,6,6,12,0,1,1,62,29,91,0,1,1
Abel Trujillo,Roger Bowling,2013-08-28,50,73,123,43,61,104,57,73,130,47,61,108,1,0,1,4,1,5,42,73,115,34,58,92,3,0,3,6,3,9,5,0,5,3,0,3,35,69,104,38,60,98,7,3,10,1,1,2,8,1,9,4,0,4
Abel Trujillo,Tony Ferguson,2014-12-06,15,61,76,20,35,55,16,61,77,38,38,76,2,3,5,1,0,1,14,61,75,12,31,43,1,0,1,5,0,5,0,0,0,3,4,7,11,49,60,18,34,52,1,8,9,1,1,2,3,4,7,1,0,1
Abel Trujillo,Marcus LeVesseur,2012-12-08,57,18,75,9,7,16,94,23,117,11,8,19,1,0,1,2,8,10,22,14,36,3,4,7,28,4,32,1,0,1,7,0,7,5,3,8,1,9,10,3,3,6,28,5,33,6,4,10,28,4,32,0,0,0
