,fighter,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
0,Scott Morris,"5' 10""",210 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
1,Royce Gracie,"6' 1""",175 lbs.,,Southpaw,"Dec 12, 1966",0.88,41%,1.13,37%,0.0,0%,66%,0.8
2,Remco Pardoel,"6' 3""",260 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
3,Patrick Smith,"6' 2""",225 lbs.,,Orthodox,"Aug 28, 1963",0.0,0%,0.0,0%,0.0,0%,0%,0.0
4,Johnny Rhodes,"6' 0""",210 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
5,Frank Hamaker,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
6,Jason DeLucia,"5' 11""",190 lbs.,,Southpaw,"Jul 24, 1969",0.0,0%,0.0,0%,0.0,0%,0%,0.0
7,Orlando Wiet,"5' 10""",170 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
8,Ray Wizard,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
9,Fred Ettish,"6' 0""",180 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
10,Minoki Ichihara,"5' 7""",178 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
11,Thaddeus Luster,"6' 3""",210 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
12,Scott Baker,"6' 0""",210 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
13,Alberta Cerra Leon,"5' 8""",238 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
14,Robert Lucarelli,"6' 2""",245 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
15,David Levicki,"6' 5""",275 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
16,Sean Daugherty,"6' 0""",175 lbs.,,,"Dec 04, 1975",0.0,0%,0.0,0%,0.0,0%,0%,0.0
17,Keith Hackney,"5' 11""",200 lbs.,,Sideways,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
18,Felix Lee Mitchell,,,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
